Book Reference No,Description,Material,Museum Reference No,Citation
227,Bowl,Ceramic,SNM 31155,"227 Bowl Ceramic Musawwarat es-Sufra, Great Enclosure, Courtyard 224, ZN 334B Kushite (Meroitic), first century wc to first century av Max. H 97mm, D 148 mm; rim: Th 5 mm SNM 31155 Fragments of a wide thin bowl! with red pol- ished rim. Two dark bands enclose a row of impressed cobras, This royal design is repre- i) ui U1 SUDAN: ANCIENT TREASURES sented many times among the Musawwarat material and indicates that the royal court visited this place to participate in religious ceremonies. SW Edwards 1999, 28, pl. 3.13"
228,Bowl,Ceramic,SNM 31157,"228 Bowl Ceramic Musawwarat es-Sufra, Great Enclosure, Courtyard 224, ZN 902 Kushite (Meroitic), first century bc to first century ap Preserved H 95 mm, D 90 mm; rim: Th 3 mm SNM 31157 Fragment of a bowl with two dark bands of guilloche design. The guilloche design is also found on pottery from Meroe, but there is no exact parallel. SW Edwards 1999, 32 and pl. XII"
229,Cup,Ceramic,SNM 31156,"229 Cup Ceramic Musawwarat es-Sufra, Great Enclosure, Courtyard 224.ZN 911 Kushite (Meroitic), first century be to first century ap Preserved H 44 mm, D 100 mm; rim: Th 2 mm SNM 31156 Fragments of a thin cup with vine-leaf design. This very elegant design is also known from Meroe, both the Royal City and the Pyramids; however, as in other cases, there are significant stylistic differences. sw Edwards 1999, 33, pl. XI --- Page 257 --- 256 SUDAN: ANCIENT TREASURES"
230,Pottery stamp,Ceramic,SNM 31213,"230 Pottery stamp Ceramic Old Dongola, no. D.11/91-2 Medieval H 60 mm, D 67 mm SNM 31213 The conical object is ceramic covered with a cream slip. In the upper part a hole through the cone for a String or a leather strap would allow the stamp to be hung. On the circular base the concave stamp is impressed and incised. It represents the Holy Lamb, which stands in front of a chalice with the eucharis- tic bread. Identification of the animal, which resembles an antelope, is stressed by the inscription in Greek (mirror image) above the spine of the lamb: O AMNOZ TOY OY, ‘The Lamb of God’. The lamb’s head is embellished with the cross. The cross with pendants between its arms appears also on the eucharis- tic bread. The scene is surrounded by two con- centric circles and by a circle of satellite dots which allows us to date the stamp to the Clas- sic Christian period (Adams 1986, 222). The Stamp was found among the rubble of Room 2 of the service area of the Monastery of the Holy Trinity (Zurawski 1994b, 340, fig. 15). The most probable use of the stamp was to decorate pottery. In the collection of Nubian pottery in the National Museum in Warsaw there are two examples of centrepieces from small bowls with almost identical scenes impressed (238168 MN; 238169 MN). The stamp, however, could also have been used to decorate eucharistic loaves before baking (cf. Galey 1980, fig. 177) KP"
231,Pot separators,Ceramic,SNM 31214,"231 Pot separators Ceramic Old Dongola, Kilns R1C, R1F Medieval Le. 150mm, We. 100 mm, The. 50 mm SNM 31214 Pot separators, or ‘kiln pads’(Corder 1957, pl. VD), were made of ceramic. Their crescent- like form with wedge-shaped cross section and slightly concave upper surface made them useful for stabilizing pots with rounded bottoms on the flat surfaces of the kiln’s firing chamber. Another potential function was the separation of large vessels that were stacked in piles, in order to improve the circulation of hot gases and to promote the even oxidation of their surfaces during the firing process. At Old Dongola separators were found in the rubble of Kilns R1C and R1E. KP"
232,Kiln-wasters,Ceramic,SNM 31211,"232 Kiln-wasters Ceramic Old Dongola Medieval SNM 31211 Medieval pottery production was on a mas- sive scale, generating large quantities of waste such as ash, slag, brick rubble and potsherds from failed products — ‘wasters’. --- Page 258 --- 233, 234 Layers of waste covered the area surround- ing the kilns, finally creating artificial hills, koms, on which other kilns were built. In Old Dongola, at Kom R1, the thickest rubble of such layers reached 4.6 m (Pluskota 2001, 360). The high percentage of pot- sherds in the debris indicates that either ‘Nubian potters were not careful enough’ (Adams 1986, I, 32) or that the speed of mass production resulted in numerous breakages. Some of the vessels were smashed during the removal from the kilns, but most of them broke in the kilns during firing or the subsequent stage of cooling. KP"
233,Wolf's-tooth decorated sherd,Ceramic,SNM 31263,"233 Wolf's-tooth decorated sherd Ceramic Soba East (CE2),1 Medieval H 240 mm, W 215 mm, Th 25 mm, Dc. 160 mm SNM 31263 The wolf's-tooth decoration on this hand- made medieval sherd is a monument to the continuity of traditions in Nubian pottery manufacture. This particular decorative tech- nique has a long history of usage harkening back to the Neolithic and A-Group (cat. 234) and is also present at Soba throughout the medieval period. The wolf's-tooth pattern is incised on the vessel prior to firing. JRA/DAW Welsby 1998a, 119, 128, 129"
234,Bowl,Ceramic,SNM 14009,"234 Bowl Ceramic Halfa Degheim, Scandanavian Joint Expedition Site 277, Tomb 16A, 16A:5 A-Group Rim: D 165 mm, max. H 191 mm SNM 14009 This mottled brown, coarse-ware, deep bowl with a pointed base was discovered in an undisturbed A-Group adult burial. It is hand- made and the exterior is decorated with wolf's-tooth decoration. incised prior to firing. Wolf's-tooth decoration was used over a long period of time, appearing even in the medieval period (cat. 233). JRA Nordstrém 1972, Bd 3:1, 195; Bd 3:2, pls 4, 102 --- Page 259 --- = 258 tw SUDAN: ANCIENT TREASURES"
235,Ostrich-shaped vsel,Ceramic,SNM 1134,"235 Ostrich-shaped vsel Ceramic Kerma, Eastern Cemetery, Tumulus K XIV or K XV, east of Chapel A Kerma Classique H155mm,W 190mm SNM 1134 Only two examples of this peculiar red black- rimmed tripod vessel were inventoried by G.A. Reisner during his excavations between 1913 and 1916, Discovered in the spoil heaps near chapels associated with tumuli K XIV and K XV, these are dated to the end of the Kerma Classique period. The curve of the spout, the small wings and the tail are reminiscent of an ostrich. Although ostriches are rarely depicted in the bestiary of mica ornaments, ivory inlays or wall paintings of the great funerary temples, they are present in funerary equip- ment in the form of feather fans from the Kerma Ancien period onwards. Ostrich eggs are also present, used as vessels or as raw material for bead-making. NF Berenguer 2003n; Reisner 1923a, 108-9; 1923b, 374, 354, 315-17; Wenig 1978b, 156, no. 63; Wildung 1997, 99-100, no. 98 --- Page 260 ---"
236,Aqusinanile,Ceramic,SNM 62,"236 Aqusinanile Ceramic Wad ban Naga, Kom B, Palace Kushite (Meroitic), first century Ap H 137 mm, L 220 mm; rim: D 43 mm, max. D 103mm SNM 62/9/71 This vessel was reconstructed after being found in sherds above the floor level in the palace of Amanishakheto. It is an unusual shape: roughly cylindrical, tapering at each end into a flat disc. There is a spout at one end beside which is an opening for the addition of fluids; the spout has a flaring rim and is i"
237,Aquamanile,Ceramic,SNM 31205,"237 Aquamanile Ceramic Soba East, Building D, Rooms m23, m24, (B25)20, 31, 34 Medieval H 344 mm, L258 mm, D206 mm SNM 31205 The body of this vessel is cylindrical with convex ends. A spout protrudes from one end, while there is an opening for the addition of liquids on top. Often these vessels are given zoomorphic attributes: including those of bulls, rabbits and elephants, and have an animal head at the spout end, hollow stubby legs on the underside and a tail at the oppos- ing end. Frequently a round or strap handle joins the body at the back of the animal head. This vessel has a spout in the shape of an ele- phant head. A small wrapped or hooded figure stands atop its head. Aquamanile form a distinctive class of green-glazed, wheel-made vessels at Soba. The SUDAN: ANCIENT TREASURES glaze on most aquamanile found at Soba remains a powdery yellow-lime slip as they were not fired at a temperature high enough to vitrify the glaze. The fabric of these vessels is fine and ranges in colour from brick-red to pale orange. This is the only known produc- tion of glazed ware in Nubia. Though no closely analogous vessels are present from Egypt, aquamanile are found throughout the Near East. Close parallels to the Soba vessels may be found in twelfth- to thirteenth-century AD Persia (Watson 1985, figs 97, 98): how- ever, unlike their counterparts, the Soba vessels are non-functional and appear to be rudimentary local imitations. The local manu- facturer was clearly unaware of the functional aspects of these vessels. The handles are weak and would have difficulty supporting the weight of the vessel when filled, and often the spouts do not perforate the body. JRA/DAW Welsby and Daniels 1991, 174-6 --- Page 261 --- SUDAN: ANCIENT TREASURES"
238,Bowl,Ceramic,SNM 30584,"238 Bowl Ceramic NDRS, Site F1, pot form B10.2 Neolithic H124mm,D 128mm SNM 30584 Found at the Neolithic cemetery F1 in the Northern Dongola Reach Survey (NDRS) con- cession, this pale brown bow] with burnished exterior is covered with bands of incised dec- oration in horizontal registers, probably made with a fish bone or potter's comb. The fabric is typical of the Neolithic period, con- taining a great deal of fine clear quartz sand and little or no organic temper. The bowl is hand-made and has a pronounced in-turned rim and a gently pointed base. IWS Welsby Sjéstrém 2001a, 300, fig. 5.31"
239,Jar,Ceramic,SNM 31210,"239 Jar Ceramic NDRS, Site L14, pot form J6.5 Neolithic H 256 mm.D 168 mm SNM 31210 This ‘bag’-shaped, hand-made jar, of Neolithic date, was unique within the NDRS. The exterior is brown in colour and burnished, decorated with rouletted decoration over the whole of the body, which is relatively unusual. The fabric is the most common of the period, with a high proportion of fine quartz sand and no organic temper. It was found in a cemetery context. IWS Welsby Sjéstrém 2001a, 281, fig. 5.12 --- Page 262 --- SUDAN: ANCIENT TREASURES 261 ve"
240,Caliciform beaker,Ceramic,SNM 26899,"240 Caliciform beaker Ceramic El-Kadada, Cemetery C, Grave 3, KDD76/3/59 Neolithic, 3610-3392 sc (calibrated) H 277 mm, max. D 234 mm, min. D 54 mm; interior rim: D 224 mm SNM 26899 This caliciform beaker (cf. cats 22, 271), made by the coil technique, has undoubtedly had its lower part shaped by means of modelling. Both external and internal surfaces were slipped and burnished. On the interior this treatment does not reach further than the waist. It is dec- orated by the incision technique. The opening is very wide and carries an internal decoration made up of a series of five incised triangles, joined together and facing five others whose surfaces have only been burnished and present a ‘rippled ware’ appearance. The body is divided into three bands, the middle one having been left without decoration. The other two are divided into panels by thin vertical bands, themselves divided into two by a thin band that runs vertically, forming angular motifs of the chevron kind. The compartments thus marked out are filled with incised parallel and oblique lines that are encrusted with a white substance in order to highlight the deco- ration. It should be emphasized that this deco- ration exactly matches that on the bow! found in the same grave and so must have been made by the same person. Placed on the edge of the grave cut together with a pestle and ten bivalve shells, it belonged to a man whose burial was rich in grave goods. He was the principal burial in a grave containing three bodies, one of whom had been sacrificed. The mollusc shells allowed for carbon-14 dating. JR jeus 1984, fig, 4, pl. Vil; Reinold 1994a, 60, no. 63; 1998, fig. 1; 2000a, 61, 138, no. 27; 2000b, 15, no, 27; 2002, 107, fig. 4; 2003), 274, no, 248; Welsby 1995, 105, no, 1.75; Wildung 1997, 23, no. 10 --- Page 263 --- SUDAN: ANCIENT TREASURES 241"
242,Jar,Ceramic,SNM 14028,"242 Jar Ceramic Aksha, Mission Archéologique Franco-Argentine 1963, Acs IX Tx/25-3 A-Group (3500-2800 8c) H 567 mm, max. D 437 mm; rim: D 125-8 mm SNM 14028 This large, pale red jar with a broad shoulder, narrow neck and pointed base originated from the Gerzean phase of Predynastic Egypt (Naqada IIIa-b, 3500-3100 Be). It was found in arich burial of Terminal A-Group date. It is strong and well fired, and made of marl clay probably in a workshop in Upper Egypt. A turning device was used for the shaping of the neck. It is decorated with groups of wavy lines painted with dark red ochre and bas a fine, incised drawing of a bull or a cow with long legs. --- Page 264 --- Jars of this “ype and more slender shapes were made in various sizes. In the older archaeological literature they were called ‘wine jars’, but a more differentiated function for transport and storage is probable. Many were exported to Nubia filled with miscella- neous commodities, and during the Terminal A-Group phase much of this trade was concentrated in the southern parts of Lower Nubia. Potmarks, probably related to exchange and ownership, were common. These precious jars had a long life. They were often reused and mended, having repair holes along old cracks. A few whole specimens of smaller size were even placed as offerings in C-Group burials 1,000 years later. H-AN Reinold 2000a, 87, 138; 2003g; Wildung 1997, 45, no. 38"
243,Dish,Ceramic,SNM 14026,"243 Dish Ceramic Aksha, Mission Archéologique Franco-Argentine (AA XXX AA-3) A-Group (3500-2800 pe) H58 mm, D 317 mm SNM 14026 This large, shallow dish was found in a burial of Terminal A-Group date at Aksha on the west bank of the Wadi Halfa reach. It is made of a local Nubian clay tempered with finely divided organic material. The original surface is pale brown. The exterior is enhanced with a red wash and is well pol- ished. The polished interior is decorated with brownish red lines, one band around the rim and several sets of three wavy lines that extend downward from the rim to the SUDAN? ANCIENT TREASURES centre of the bowl. This is marked with a circle of a light red colour. The dish has been reconstructed and a small piece of the rim is missing. Shallow dishes with a diameter exceeding"
244,Bowl,Ceramic,SNM 30022,"244 Bowl Ceramic NDRS, Site P37, (G4)49, pot form B15.2 Kerma Moyen H100mm,D 150mm SNM 30022 The decoration on this hand-made bowl places it within the C-Group ceramic tradition, although it was found in a cemetery of the Kerma Moyen. The exterior is black-burnished, while the interior has been roughly smoothed. The whole of the exterior surface of the bow! is covered in quasi-geometric impressed dec- oration, possibly made with a fishbone. The sides gently curve inwards while the base has been pushed in, giving it an omphalos shape. Running around the rim immediately below it is a register of holes, pierced before firing from the exterior towards the interior. Traces of red ochre suggest that a coloured red strip of leather (?) was once threaded through the holes. Alternatively, because traces of colour were not found in the holes, the effect of a strip may have been simply painted on. It has been suggested that the holes were for hang- ing the bowl, but the traces of colour and the close spacing of the holes suggest that they were more likely to have been for additional decoration in the form of a trim. Two sets of holes further down the body were possibly intended as ‘suspension holes’, although their location does not seem suitable for this pur- pose. Another almost identical but smaller bowl was found in the same grave. IWS Welsby Sjéstrém 2001a, 302, fig. 5.33"
245,Bowl,Ceramic,SNM 3907,"245 Bowl Ceramic Kerma, Tumulus KN 168, North Cemetery, 168/X-N.XIV.5 Kerma Ancien H137mm,D 220mm SNM 3907 A black-topped, red-polished, hand-made bowl with a round bottom discovered in a large tumulus. A decorative band of finely incised cross-hatching runs around the rim on the exterior. The highly polished surface of the vessel was created by burnishing the sur- face with a pebble; the red colour results from the application of red ochre. Both were done before firing in an oxidizing (oxygen-rich) atmosphere. The black top was created by upending the vessel into a reducing atmos- . phere during firing (Gratien 1978, 220-28). The Kerma Ancien period does not display a wide variety of vessel forms. Those shapes that are found have av: «i‘tinity with C-Group pottery from Lower Nubia, and it has been suggested that the two pottery traditions may have developed from a common origin (Bonnet 1990a, 126-31; Gratien 1978, 307-13). JRA Dunham 1982, 208; Reisner 1923a, 120"
246,Beaker,Ceramic,SNM 24406,"246 Beaker Ceramic Sai, SKC2, Tomb 13/16, inv. S. 763 Kerma Classique H116mm,D 150mm SNM 24406 Black-topped, red-polished, tulip-shaped beaker with thin walls, an open flaring rim and round base. The black band reaches almost halfway down the body and a shimmering grey band runs around the middle of the body. This is a beautiful example of a typical hand-made beaker of the Kerma Classique period and is found widely distributed throughout cemeter- ies and settlements. The dimensions of these beakers are quite standardized, suggesting that they may have been manufactured using a mould (Gratien 1986, 432). JRA Gratien 1986, 303, fig. 246g, 304, p. 431, fig. 321 --- Page 266 --- SUDAN: ANCIENT T"
249,Jar,Ceramic,SNM 31209,"249 Jar Ceramic Kerma, Western Necropolis, surface find Kushite (Meroitic) H 192 mm,D187 mm SNM 31209 Wheel-made jar of fine clay with light orange slip. The decoration painted in red and black on the upper half of the spherical body is organized in several registers divided by a double line traced on the wheel. The largest register comprises ankh signs in diamonds and triangles of a lattice motif. It is bordered by a chain of trefoil motifs. The cleanness and the regularity of the lines, as well as the frieze of large beads running along the rim, ascribe this vessel to the ‘severe pharaonic style’ (T6rdk 1987b, 199-202). The Meroitic cemetery at Kerma is much larger than G.A. Reisner’s excavation origi- nally led one to suspect: it developed from the centre of the ancient Nubian city to the dis- trict of Dokki Gel, where the ruins of the New Kingdom city and the subsequent Kushite period are found (see p. 109 ff.). The cultiva- tion of certain areas caused disturbances in loci that destroyed or disturbed numerous burials; therefore it is not rare for ceramics to appear on the surface. NF Bonnet 1988, 19"
250,Goblet,Ceramic,SNM 31208,"250 Goblet Ceramic Kerma, Western Necropolis, surface find Kushite (Meroitic) H81mm,D 83mm SNM 31208 This wheel-made goblet of red clay and slip, found in the same cemetery as the large jar above (cat. 249), is characterized by a stamped decoration that covers three-quar- ters of the body, starting at the rim, which is in itself rare. Two grooves incised on the turning wheel and filled with black complete the decoration. The diamond motifs, which include trefoil elements, were stamped very closely together. NF Bonnet 1988, 19, fig. 20; Zach 1988 250"
251,Jar with incised Meroitic,Ceramic,SNM 27849,"251 Jar with incised Meroitic graffito Ceramic Gabati, Grave 11A, GBT1103 Kushite (Meroitic), first century sc H 328 mm, max. D 322 mm; rim: D 98 mm SNM 27849 A complete wheel-made jar, probably Gabati fabric G1. The exterior is coated with a cream slip which shades to pale orange in some areas. The rim, neck and top of the shoulder are coated in red. On the shoulder a single motif is painted three times and there are a post-firing inscription and ‘owner's mark’. DE Rose 1998, 142-3, fig. 6.6 --- Page 268 --- SUDAN: ANCIENT TREASURES 267 --- Page 269 --- 268 SUDAN: ANCIENT TREASURES"
252,Jar,Ceramic,SNM 27806,"252 Jar Ceramic Gabati, Grave 74, GBT7401 Kushite (Meroitic), second-first centuries nc (?) H 367 mm, max. D 276 mm; rim: D 109 mm SNM 27806 Hand-made jar, probably Gabati fabric G5. The base is worn from use. The exterior is bur- nished over the natucally mottled grey-black- brown surface, horizontally on the body and vertically on the neck. The neck, shoulder and upper body are decorated with complex comb- impressed designs, including paired short- and long-necked animals, probably giraffes. Such designs are common on Meroitic hand-made pottery of the last centuries Bc. DE Rose 1998, 165, fig. 6.21"
253,Vase,Pottery,SNM 27368,"253 Vase Pottery Sedeinga, Sector I of the large necropolis, Grave [T16 5 Kushite (Meroitic), first century ap H 330 mm, max. D 152 mm SNM 27368 Vase of painted ceramic with globular body and a long cylindrical neck. The black mono- chrome decoration stands out against the beige background. All around the body, between two double horizontal lines, four AS}: ~ mG \ ee"
254,Beaker,Ceramic,SNM 28779,"254 Beaker Ceramic Sai Island, Site 8-B-5.SAS2 Kushite (Mcroitic) H 100mm, D 91 mm SNM 28779 Beakers decorated with painted designs are common among the finest Meroitic pottery wares, This light cream-coloured piece dis- plays a frieze of large stylized frogs painted in brown and placed between two double hori- zontal lines of the same colour. Because of its SUDAN: ANCIENT TREASURE 255 close association with water, this animal was related to life and rebirth. This explains its occurrence on numerous Meroitic pottery vessels found in a funerary context, where it is often associated with the ankh (cf. cat. 253), the well-known sign of life found in ancient Egyptian hieroglyphic writing. FG Geus 1994, 27; Reinold 2000a, 143, no. 182; Vercoutter 1979, 221, 223, 233, no. 13. fig. 8"
255,Eastern Desert Ware bowl,Ceramic,SNM 31220,"255 Eastern Desert Ware bowl Ceramic AKS, Site 3-0-1 (A), Tumulus 11, Grave 37. 42c, pot form 49x Post-Meroitic H 127 mm, D 230mm SNM 31220 This hand-made bowl! formed part of the grave goods of a Post-Meroitic burial. Together with two other vessels from the same cemetery, it presents clear similarities with Eastern Desert Ware, which is widely distributed from the Red Sea coast in south- ern Egypt into the Nile Valley. The top of the rim is decorated with seven impressed groups of dots; the exterior is slipped and decorated with incised wavy lines and triangles infilled with wavy lines. The interior is bisected by four lines painted with a thinned-out slip, each running from side to side across the centre of the bowl. IWS"
256,Bowl,Ceramic,SNM 23367,"256 Bowl Ceramic Dabbat el-Tor c. 100 ac, possibly earlier (Jebel Moya, Phase III) H 154 mm. max. D 190 mm; rim: D 117mm SNM 23367 This is a heavily manufactured. plain-rim globular bow! with thick walls and a na mouth. The exterior is red-burnishea decorated with incised bands encl» rocker-stamp impressions. This hand- vessel has previously been described asy scratched’ ware and has been discovery other sites such as Jebel Moya and Abugy The exact dating of this vessel type is uy tain and it appears at Abu Geili aftery Moya was abandoned (cf. Crawforyy Addison 1951, 44-50, pls XXXVIIA 11; Gerharz 1994, 134-6). --- Page 271 --- SUDAN: ANCIENT TREASURES"
257,Beer jar,Ceramic,SNM 31184,"257 Beer jar Ceramic AKS, Site 3-O-1 (B), Tumulus 5, Grave 34, 62e, pot form 59x Post-Meroitic H 524 mm, max. D432 mm; rim: D 60 mm SNM 31184 This hand-made vessel was discovered intact, forming part of the grave goods of a Post- Meroitic burial. A so-called ‘beer jar’ with narrow neck and large bulbous body, it has raised decoration on the shoulder and neck. The decoration consists of three trident shapes on the shoulder, while at the base of the neck are three circular bosses. IWS"
258,Spouted jar,Ceramic,SNM 31267,"258 Spouted jar Ceramic Gabati, no. GBT T5/93c Early medieval, late sixth century AD (?) H 184mm, max. D 207 mm; rim: D 102 mm SNM 31267 Wheel-made spouted jar with a burnished red slip and black painted decoration on a white background, Gabati fabric G19. This is a common Post-Meroitic and early medieval form; the decoration seems likely to date to the beginning of the Christian period. Paral- lels for such vessels with similar decoration can be found both at Soba East and Old Dongola. DE Smith 1998, 186, fig. 6.32"
259,Soba Ware sherds,Ceramic,SNM 31266,"259 Soba Ware sherds Ceramic Soba East, (MN10)15, 51, 79, Dec. 434.8; 388.2; 433.1; pot form 230N Medieval, Transitional to Classic Christian L 3.7-9 mm, W 3-8 mm, Th 2-6 mm SNM 31266 Soba Ware forms a distinctive assemblage of finely painted and slipped, wheel-made ceramics that date from the Post-Meroitic transitional period to the Classic Christian period. It has little affinity with the ceramics of the earlier Kushite period or with other medieval Nubian wares, It was produced in the vicinity of Soba, suggesting the presence of a thriving local ceramic industry there during the early medieval period. Imported wares are rare at this time at Soba, Many characteristic styles are present, with painted designs applied on the exterior and occasion- ally the interior overtop of brown, red or --- Page 272 --- -ooed surfaces. Usually the interior and =» ior are slipped with the same colour; howeve:, when differing colours are used sometimes the darker slip is extended over the rim to form a band around the rim on the interior or exterior. Bowls, basins, jars, cups, chalices (cats 193, 198) and lids are the pri- mary vessel forms used. The painted decora- tion appears to be strongly influenced by Christian decorative artistic traditions as seen in contemporary Nubian wall paintings. A wide range of distinctive designs are pre- sent, with the decoration commonly situated within horizontal or vertical registers. Deco- rative motifs include human faces, roundels, animals such as lions, birds, frogs and gazelle, backgrounds filled with dots, ovals or crosses, repeating friezes and geometric patterns. Crosses are among the most common motifs. Bosses may also be painted and modelled in the shape of animal heads. Some of these motifs are quite distinct and might suggest the hand of one artist, or of a school or group following a set pattern. JRA/DAW Welsby and Daniels 1991, 214, 227-8, 324-34; Welsby 1998a, 113, 136-72 cre:"
260,Black and White Decorated,Ware,SNM 31265,"260 Black and White Decorated Ware Ceramic Soba East, (23)38 Medieval, Early Christian H 160 mm, L 120mm, W 85 mm, Th 50 mm, De. 132mm SNM 31265 Painted pottery at Soba during the early medieval period falls into two categories: the first is Soba Ware and the second Black and White Decorated Ware. Black and White Dec- orated Ware is distinct and seems to be associ- ated only with certain forms and fabrics, primarily jars of the narrow-mouthed, thin- walled or enclosed varieties such as pilgrim flasks. It is much rarer than Soba Ware, sug- gesting that it might have been imported to the Soba region. Analogous examples have been discovered at Old Dongola and Gabati (cat. 258), and there may have been a kiln producing this ware in the vicinity of Old Dongola. The exterior surface of these vessels is usually covered with orange or red slip on to which the design is applied in black paint. Spaces within the pattern are then filled in white; however, in certain instances the posi- tions of the red/orange slip and the white are 259, 260 (top centre) reversed, Common decorations include boxes or discs filled with cross-hatching, horizontal bands containing crosses, triangles or dia- monds, horizontal or vertical arrangements of ovals and decorative motifs that cover the pot body but are not restricted to registers or linear arrangements, JRA/DAW Welsby 1998a, 119, 136-9, 170 SUDAN: ANCIENT TREASURES iS) “I 1 --- Page 273 --- SI tS) SUDAN: ANCIENT TREASURES"
261,Black-burnished sherd,Ceramic,SNM 31264,"261 Black-burnished sherd Ceramic Soba East, (M14)445, Pot form 48L Medieval L198 mm. W 23 mm. Th 148 mm, Dc. 165 mm SNM 31264 fabrics. This decoration technique Was also found further north, though not in any great quantity, thus Suggesting a Soba- influenced local tradition ora tradition orig- inating further to the south. It may be contrasted with Ceramics from Old Dongola (cat. 188). Burnishing is produced by rubbing the pot Surface after firing with a rounded stone or other Smooth object, thus making the Sraffito—a Monogram in the shape of a Cross, Made after firing. JRA/DAW Welsby 1998a, 9]"
262,Pilgrim flask,Ceramic,SNM 15309,"262 Pilgrim flask Ceramic Meinarti, reg.no. 15] Medieval, late Christian Dc. 163 mm, Th ¢.131mm:r im: De. 53 mm SNM 15309 A distinctively shaped vesse| with two pre- formed, wheel-made, convex discoid faces joined together. On the top, loop handles emerge from the base of the neck on either side --- Page 274 --- of late Christian pilgrim of a spout, The shape : ubian design (Adams flasks appears to be of N 2002, 66). A wide reddish-orange band with black geometric and guilloche designs adorns a the sides, while two knotted serpents decorate the exterior faces. This is an extremely unusual decoration as snakes are not normally depicted in this fashion: they are usually shown being trampled underfoot as a symbol of evil. It is uncertain what these vessels carried, though the slender neck suggests liquids. The handles on such vessels found at Soba East were extremely worn, and a cord was found tied to the handles and neck of one suggesting that it may have been attached to a pack animal (Welsby and Daniels 1991, 172). JRA Adams 2002, 52, 66, col. pl Ie, f pl. 12¢, f back cover SUDAN: ANCIENT TREASURES"
263,Bowl,Ceramic,SNM 9286,"263 Bowl Ceramic Abu Geili, field no. 400/9/2 Islamic, Funj H113mm,D 315mm SNM 9286 An open, hand-made, black-burnished bow! with a flat base. The colour is not uniform and some brown areas are visible. The interior is decorated with a band of impressed dots around the rim, while the exterior is adorned with a wide incised band of ‘X's, beneath which is another of impressed dots. The bowl was broken and repaired in antiquity. Two repairs, consisting of three pairs of holes each, straddle the breaks and would have allowed the bowl to be repaired with a thong or cord, though not to hold liquids following the repair. Although this bow] is circular in form, others of this type were purposefully shaped into squares or ovals, and no two bowls appear to share the same decorative motifs, though all are incised with geometric patterns. These vessels have been found pre- dominantly in graves, and virtually all bowls of this type discovered thus far appear to have been repaired, possibly an indication of their value or importance. JRA Crawford and Addison 1951, 53, 59, pls XXXII, XLVI 3 i) be | --- Page 275 --- 13 FUNERARY CULTURE FRANCIS GEUS three he most ancient burials ever found in Sudan sie teal cemeteries located in Lower Nubia north of i The most that date to the end of the Palaeolithic ae These —_— are significant are found at Jebel Sahaba (fig. 1 b . ently in Nubia: the forerunners of traditions that — - ae the burials the graves are concentrated in an area that is =e nee two to four indi- occupy pits protected by thin sandstone slabs; some pits = tation, contre:ted eri Viduals; all the skeletons display the same position and pans 7 en in a foetal their left side, with heads to the east, and hands in front of mama another Posture. This probably showed that death was viewed as a ane ver several graves form of existence.! At Toshka the bucrania of wild an efoun tained grave goods. Possibly indicated their location. None of those early burials ms ed in Lower Nubia, These initial Mortuary traditions do not seem to have an Upper Nubia and where no Neolithic grave has ever been found, in contrast “ t ake that period. the central Sudan where a wealth of evidence has been collecte toum Mesolithic The most ancient tombs excavated there, dating from the Khar —_ located in (8000-5000 Bc), contrast with those just ariniagiaie ad min the orien- *pecialized areas, but were within settlements. No meal on ian no covering tation and position of the dead, though most were contrac - ever contained Protected them. So far, apart from a very few — ie cade: of burying burial 800ds. A recent discovery at Kerma has awe ar ae stages of the the dead with Personal belongings appeared during the out which was to Mesolithic period, initiating more elaborate mortuary behaviou i d i i ia in the Kerma Basin an develop considerably during the two following millennia in t the central Sudan, wh burials displaying This may have res cla ge . : . ‘Oo see it asa final towards the other existence involved and perhaps inclined to initiation rite, tried to ass their prior existence, At el-Ghaba sm oe ts of ist their deceased individuals by providing elemen s all rounded pits contained a single enculint i e tracted position with no particular orientation. The pe ee contained Personal adornments, was generally at the centre of the pit, ” . init e fragments. pottery vessels, stone and bone tools, mollusc shells and malac --- Page 276 ---"
265,Chisel,Copper alloy,SNM 2455,"265 Chisel Copper alloy Meroe, Southern Cemetery, Beg S 32, Harvard-Boston Mus. no. 21-2-156.c, A.M.S. no, NE-36-0/03-J-0002.032 Kushite, Napatan, mid-sixth century sc (Gen. 11-12) L104 mm, W 12mm,Th 8 mm SNM 2455A The chisel belongs to the same group as cats"
266,Adze,Copper alloy,SNM 2456,"266 Adze Copper alloy Meroe, Southern Cemetery. Beg S 32. Harvard-Boston Mus. no. 21-2-157, A.M.S. no. NE-36-0/03-J-0002.032 Kushite, Napatan, mid-sixth century pe (Gen. 11-12) L123 mm, W 44mm, Th 3mm SNM 2456 Flat, with a clearly defined square butt end. this adze tapers outward from the shaft to the cutting edge. The cutting edge was broken in antiquity and was formerly rounded. It belongs to the same group of grave goods as cats 264-5. FWH Dunham 1963, 374, figs 203, 204.A,2; Hinkel and Abdelrahman 2002, 143; Reisner n.d., XXXII 283 --- Page 285 --- | } 1"
