Book Reference No,Description,Material,Museum Reference No,Citation
2,FEMALE FIGURINE,"Fired clay; H. 8.98 cm, Max. diam. 4.07 cm","Khartoum, National Museum 26895","2 FEMALE FIGURINE

Fired clay; H. 8.98 cm, Max. diam. 4.07 cm
From el-Kadada, Cemetery C, Sector 76, Tomb 9
Excavations of the SFDAS, KDD 76/9/2
Neolithic

Khartoum, National Museum 26895

Both the upper torso and the rounded
lower body are covered with tattoos.
Two diagonal slits mark the eyes, and 4
long pigtail extends from the back a
the head. In Egyptian art of later per
ods, the emphasis on the lower body
and the hairstyle are erotic motifs.

Lit: Reinold, in ANM 2 (1987); 34—37, fig. 7; idem,

catalogue Nubie (Lille, 1994), 55f,, no. 54; D. Welsby,

catalogue Abica: The Art of a Continent (London, 1995)

104, no. 1.73 (German edition: Afrika: Die Kunst eines
Kontinents Berlin, 1996}, 104, no, 1.73)

2
"
3,FEMALE FicuRINE,"Fired clay; H. 6.7 cm, W, 2.2 cm, Th. 2.0 cm","Khartoum, National Museum 26969","3 FEMALE FicuRINE

—_

Fired clay; H. 6.7 cm, W, 2.2 cm, Th. 2.0 cm
From el-Kadada, Cemetery (, Sector 85, Tomb %

Excavations of the SFDAS, KDD 85/95/1
Neolithic

Khartoum, National Museum 26970

Similar to cat. 2 in the treatment of the
body and the tattoos, this statuett®
shows the addition of a voluminov
wig. Small tufts of hair may have been
placed in the many holes.

Lit: Unpublisheg

18

--- Page 30 ---
Re © ARKS ON THE PREHISTORY OF THE SUDAN

4 FEMALE FIGURINE 4

Fired clay; H. 9.3 cm, W. 3.2 cm, Th. 3.4 cm
From el-Kadada, Cemetery C, Sector 22, Tomb 15
Excavations of the SFDAS, KDD 22/15/15
Neolithic

Khartoum, National Museum 26969

This figurine surpasses its predecessors
in cats. 2 and 3 in the treatment of the
body. The arms are once again abbre-
viated stumps, but this time the lower
body is not merely a simple rounded
form but an anatomically precise sepa-
ration of stomach and upper thighs. In
profile, it is clear that the figure repre-
sents a pregnant woman. The lines
carved at hip level are distinct from the
tattoos all over the rest of the body.
Like the neck lines of cats. 2 and 3,
these probably represent folds of skin,
another indication of a pregnant
female. Between the shoulders, finely
incised lines indicate that the missing
head once wore a pigtail.

Lit.: Geus, New Discoveries in Nubia (cf. cat. 3), 16, pl. XIII;
idem, Rescuing Sudan's Ancient Cultures (Lille, 1984), 47,
fig. 100; 66f., fig, 3; idem, M, Kobusiewice and L. Krayzaniak,
eds., Origins and early development of food-producing
cultures in North-eastern Africa (Posen, 1984), 370, fig. 9

19


--- Page 291 ---
THE KINGDOM OF

NAPATA AND MEROE
"
307,Ba STATUE,"Sandstone; H. 63.6 cm, W. 18.9 cm, Th. 49.9 cm","Khartoum, National Museum 5186","307 Ba STATUE

Sandstone; H. 63.6 cm, W. 18.9 cm, Th. 49.9 cm
From Faras, near Mastaba 1201 (belonging to 2984?)
Oxford Expedition (Griffith) 1910-11

Meroitic

Khartoum, National Museum 5186

With its full hips, thighs, and pendu-
lous breasts, this statue portrays the
Meroitic ideal female form. Both hands
hold handkerchiefs ending in a sharp
point (cf. cat. 306). The bird’s wings
are treated as a single volume. The
smooth break at the neck indicates
that the head was created separately.

Lit.: PM Vil: 125; Griffith, LAAA 11 (1924): 175, pl. LVI;
idem, LAAA 12 (1925): 133f, 171; Hofmann, Beitrage zur

Sudanforschung, Beiheft 6 (1991), 38
"
309,STELA OF LAPAKHIDAYE,"Painted sandstone ; H. 46.4 cm, W. 32.3 cm,","Khartoum, National Museum 5261","309 STELA OF LAPAKHIDAYE

Painted sandstone ; H. 46.4 cm, W. 32.3 cm,
Th. 13.2 cm

From Serra West, Meroitic Cemetery (Aksha)
Second to third century 0.
Khartoum, National Museum 5261

The provenance (north of the Meroitic
kingdom) obscures the question of
whether or not the shape of this stela
reproduces the sacred mountain of
Gebel Barkal (cf. cat. 287). Although
the archaeological context is
unknown, it is certainly a funerary
stela. Surrounding the full frontal

wT ew s SSeent =

THE

KINGDOM OF

figure of a female with long, white
skirt and naked torso is an incised cur-
sive Meroitic inscription. The name of
the figure is given as Lapakhidaye,
along with her genealogical relation-
ship to a prince of Meroe and other
Important individuals. Her husband’s

position as high priest of Amun is also
mentioned.

Po ig VII: 128; Macadam, JEA 36 (1950); 44-46, pl. XI.2;

ee ie ee 25; Haycock, JEA 53 (1967): 117;
logue AiA II, 207, no, 129; RE

(ALM 2 (1969): 17 ea

292

NAPATA «ND MEROE
"
310,HEAD OF A BA STATUE,"Painted sandstone; H. 13.5 cm, W. 10.7 cm,","Khartoum, National Museum 761","310 HEAD OF A BA STATUE

Painted sandstone; H. 13.5 cm, W. 10.7 cm,
Th. 11.9 cm

From Faras, Meroitic Cemetery, Tomb 1047
Oxford Excavation (Griffith), 1910—I1,

field no. 1/1047 R

Meroitic, second to third century A.D.
Khartoum, National Museum 761

The stylistic quality of the numerous
heads from ba statues varies consider-
ably, but they all share a direct, frontal
gaze and a formal symmetry of struc-
ture. Many of them show a deeply
incised horizontal line on the brow
below the hairline. This is to be under-
stood either as a scarification or, if the
figure wears a wig, as the actual hair
lying underneath. A depression is visi-
ble on top of the skull for the mount-
ing of a sun-disk.

Lit: Griffith, LAAA 12 (1925): 124; Kendall, Meroitica 15
(1989): 672-80, figs. 5-8
"
313,HEAD OF A BA STATUE,"Sandstone; H. 29.1 cm, W. 17 cm, Th. 21.6 em","Khartoum, National Museum 3737","313 HEAD OF A BA STATUE

Sandstone; H. 29.1 cm, W. 17 cm, Th. 21.6 em
From Faras

Meroitic, second to third century Ad.
Khartoum, National Museum 3737

The large size of this head may indicate
that it was not broken from a statue,
but was an independent piece of
sculpture (cf. cats. 318, 319). The facial
details appear flat, without any plastic
modeling.

Lit.: Unpublished

293

==

WTP ta ae Pa

‘(dd dé

--- Page 297 ---
THE KINGDOM OF NAPATA AND MEROE

314/315 os —

314 HEAD OF A BA staTUE 315 HEAD OF A BA STATUE
Nay ees

Painted sandstone: H, 17.4

cm, W. 10.8 cm, Sandstone; H. 15.7 cm, W. 10.3 cm, Th. 13.4 cm

Th. 12.9 cm From Aniba

From Aniba E. B. Cox, Jr. Expedition, 1908

EB. Cox, Jr. Expedition, 1908 Meroitic, second to third century A.D.

Meroitic, second to third century 40, Philadelphia, The University of Pennsylvania

Philadelphia, The University of Pennsylvania Museum of Archaeology and Anthropology E 7069

Huseum of Archaeology and Anthropology E 9059
This b sf, The very small, highly placed face dis-
i‘ is ba head distinguishes itself from plays a prominent, beak-like mouth.
€ other Aniba and Karanog examples There is no trace of a mounted sun-disk.
In its fine modeling, The face is paint-
ed dark brown; no trace of

’ amounted |. , it: PH Vile 78:

Pee aces Lit: Woolley, Randall Philadelphia, Lit.: PH YIl: 78; Woolley, Randall, and Maclver, Karanog

sun-disk is visible, 1910, 240. 19 >and Haclver, Karanog ( (Philadelphia, 1910), 48, 240, pl. 10

294

--- Page 298 ---
THE BE ROITTIC PANTHEON

316/317
"
317,HEAD OF A BA STATUE,"Painted and stuccoed sandstone; H. 15.3 cm, W. 83","Khartoum, National Museum 13365","317 HEAD OF A BA STATUE

Painted and stuccoed sandstone; H. 15.3 cm, W. 83
cm, Th. 13.3 cm

From Aniba

E. B. Cox, Jr. Expedition, 1908

Meroitic, second to third century AD.

Philadelphia, The University of Pennsylvania
Museum of Archaeology and Anthropology E 7058

The sun-disk is firmly attached to the
elongated, squat head. The features of
the chubby face are coarsely modeled.

Lit: PM VU: 78; Woolley, Randall, and Maclver, Aaranog
(Philadelphia, 1910), 240, pl. 10

ar

bi

war

--- Page 299 ---
Tati

NAN We ramming’

\

AN Ae

nee

.

neem meth”

3.18 MALE HEAD

Painted sandstone; H. 26.7 cm, W. 15.2 cm,
Th. 184 cn

From Argin, surface find between Tombs 26 and 27
Mission Arqueologica Espafiola en Nubia,

Martin Almagro, 1963

Heroitic, second to third century AD.

Khartoum, National Museum 13365

In contrast to the large number of

heads from ba statues, this head from

the Spanish excavations at Argin forms

€n independent piece of sculpture. Its

large size is unusual, and the quality of

its workmanship exceeds that of all the

Other heads. It has no parallel in all of

Meroitic art, but shows instead a strik-

ing similarity to works created in the

Centuries surrounding the beginning of

the Christian era in the region of pre-
Sent-day Nigeria. In both the overall
facial expression and the individual
treatment of the eyes, nose, and
Mouth, the analogy is in fact so close
that a direct connection is difficult to
refute. The geographical distance
between the two regions, situated on
the same latitude on the east and west
Of the African continent, is about
2,500 kilometers. Studies of the migra-
tion patterns of central Africa are still
too sketchy to discern the route or
directional flow of this contact.
Nonetheless, the stylistic isolation of
the sandstone head from Argin, sur-
rounded there by a completely differ-
Ent artistic environment, suggests that
its inspiration—or its artist?—came
from West Africa.

A thickset hairstyle surrounds the
Spherical skull, divided into rectangular
locks above and diamond-shaped locks
at the temples and back. It extends to
just above the ears, represented by
Simple, unmodeled protrusions. A hor-
izontal line below the hair is deeply

THE KINGDOM OF

incised across the very high brow, just
below this runs a parallel but barely vis-
ible second line. The dominant facial
feature is the upper edge of the eye
sockets, indicated by deeply hollowed,
horizontal slits. Arching eyebrows are
incised just above, and the bags under
the eyes are likewise outlined by thin,
curving lines. Beneath the narrow
wedge of a nose, the small mouth is
indicated by a horizontal groove with
puffy lips. The entire effect is marked
by a restrained, linear strength in com-
plete contrast to the rounded form of
the unmodeled head and the
smoothed column forming the neck.

The head was most likely never part of
a complete statue, as is evident from
the large size and the smoothed, fin-
ished treatment of the base of the
neck, a feature found occasionally on
other Meroitic heads. Typologically, the
piece relates to portrait heads created
during the Old Kingdom in Egypt—
two and half millennia earlier—known
as “reserve heads.” But there is NO
context for associating any functional

similarity between the two types of
sculpture.

Lit: Almagro, Kush 13 (1965): 87, pl. xiVa, b; J. Teixidor,
La Necropolis Meroitica de Nelluah (Argin Sur, Sudan)
(Hadrid, 1965), 62, 102, 167, pl. 39a-c; Lectant, in The
Image of the Black in Western Art (New York, 1976),

128, fig. 138, 321; Wenig, catalogue AiA 11, 2324f., no. 160;
Hofmann, Beitrége zur Sudanforschung, Beihelt 6 (1991).

391; Welsby, catalogue Africa: The Art of a Continent
(London, 1995), 112, no. 1.84

296

NAPATA AND MEROE
"
319,MALE HEAD,"Sandstone; H. 59 cm, W. 16 cm, Th. 21 cm","Khartoum, National Museum 24144","319 MALE HEAD

—<—$—

Sandstone; H. 59 cm, W. 16 cm, Th. 21 cm
From Amir Abdallah, district of Abri East,

2-W-3
penal Sudan Antiquities Service, A. Vila—Negm
ed-Din Moh. Sherif, 1973, field no. 2-W-3: 1/1
Meroitic, second to third century A.D.
Khartoum, National Museum 24144

Several formal and stylistic features of
the sculpture from Argin (cat. 318)
recur on this large head from a je
tomb at Amir Abdallah: the spherica
volume, the emphasis on horizontals in
the deep undercutting of the eye-
brows, the narrow mouth with age
lips, and the column of a neck. L e
close-cropped hair is indicated by ine
curls. The rough, unfinished condition
of the bottom suggests the aneneee
originally set into a base or perhaps
placed in the ground.

318 >

++ «Vila. “Etudes nubiennes,” BdE 77 (Cairo, 1978): 355,
rit idem, La prospection archéologique de la vallée du
Nil au sud de la cataracte de Dal, fase. 9 (Paris, 1978),
68, 71, figs. 28-30, 73, fig. 31, 74; Wenig, catalogue, ArA i,
89, fig. 69; Fernandez, Meroitica 7 (1984): 427-32

--- Page 300 ---



--- Page 301 ---
THE

KINGDOM

298

0 F

NAPATA AND MEROE
"
320,Statue OF A WOMAN,"Painted sandstone; H. 39.1 cm, W. 17.5 cm, Th. [5 cm","Khartoum, National Museum 442","320 Statue OF A WOMAN

Painted sandstone; H. 39.1 cm, W. 17.5 cm, Th. [5 cm
From Buhen, brick chamber on the enclosure

of the Hatshepsut Temple

Excavation of Scott-Moncrieff, 1905

Meroitic(?)

Khartoum, National Museum 442

The archaeological provenance of this
unique statue helps but little in dis-
cerning its date. It was discovered in a
secondary context near the enclosure
wall of the Eighteenth-Dynasty temple
at Buhen, together with a number of
objects from various periods. The head
and body are reduced to mere boxes
connected by a cylindrical neck. The
facial features are roughly incised, the
breasts are indicated by button-like
protrusions. The entire figure was
painted bright red. A broad collar with
a dotted pattern is visible, and a multi-
tiered black and red painted necklace
hangs around the neck. The hair at the
top and back of the head consists of a
pattern of black dots. The figure has
no parallels in Meroitic art, but a few
elements are reminiscent of sculptures
from South Arabia.

Lit: Scott-Moncrieff, PSBA 28 (1906): 118f., fig. 3; idem,
PSBA 29 (1907): 46. On the site, cf. PM Vil: 138; H.S. Smith,
Buhen I: The Inscriptions, Alf.

--- Page 302 ---
320

299

--- Page 303 ---
—S SSL Le

THE KINGDOM OF

NAPATA «ND MEROE

321
"
321,Ba statue,"Sandstone; H. 33.4 cm, W. 15,3 cm,","Khartoum, National Museum 20036","321 Ba statue

_

Sandstone; H. 33.4 cm, W. 15,3 cm,
Th. 28.5 cm

From Dal

SAS UNESCO 1968, field 21-V.6: 6/2
Heroitic

Khartoum, National Museum 20036

The statue is described in the invento-
ry register of the National Museum in

Khartoum as “Ba statue... broken in
two pieces.” The second half has dis-
appeared; the brief description sug-
gests that it formed the lower portion,
containing human legs. The head and
back of the bird is covered with
plumage. Due to the extremely
abstract reduction of the face it is
unclear whether a human or bird head
is represented, A round, horizontal

300

fitting at the top could be taken for a
rudimentary sun-disk.

Lit.; Unpublished

--- Page 304 ---
TUPI wea ae

y

--- Page 305 ---
DIETRICH WILDUNG

Imost all the royal tombs in the necropoli of Kurru,

Gebel Barkal, and Meroe were thoroughly plun-
dered. Those few objects that have survived—forgotten,
lost, or thrown aside by the tomb robbers—provide a
dull reflection of the original splendor of the tomb fur-
nishings. One exception, however, is Pyramid N 6 of the
kandake (ruling queen) Amanishakheto in the northern
cemetery of Meroe. Like many other pyramids there, it
was still well-preserved at the beginning of the nine-
teenth century, as is shown by Frédéric Cailliaud’s draw-
ing of 1822 (cf. fig. 45). Only twelve years later, it had
become a mere pile of stones. The Italian physician
Giuseppe Ferlini, who had come to the Sudan with
Muhammad Ali's troops, leveled it, as well as many
other pyramids, in the search for treasure. But by
employing this “method,” he was spectacularly success-
ful. An apparently undisturbed golden treasure came to
light, which Ferlini immediately hustled out of the coun-
try. In a catalogue published in Italian in Bologna in
1837, followed by a French edition published in Rome in
1838, he introduced his treasure to the world and
invited buyers.

In 1839 a portion of the finds was acquired by the
royal Bavarian art collections; the remaining portion
proved difficult to sell, probably because of the unusual
style of the jewelry, which cast doubt on the authentici-
ty of the find. This doubt was only removed a decade
after Ferlini’s discovery, when Richard Lepsius, who in
1842 had recommended acquisition for the Berlin
Egyptian Museum, arrived at Meroe. He reports in his
correspondence: “Several pyramids have been complete-
ly destroyed, others only partially. None had its top pre-
served. Our kavass, who was here with Ferlini, showed
us the spot beneath a now leveled pyramid where he
supposedly found his golden treasure.” Lepsius contin-
ues: “Osman Bey (who camped with his troops in the
vicinity) wanted to make treasure hunters out of his pio-
neers, and ordered his battalions here in order to rip a
number of pyramids apart. Ferlini’s discovery sticks in

302

THE TREASURE OF AMANISHAKHETO

fa-
's mind here and has since brought eanecil a
or i | was able to dissuade him from bee!
nee a ae at least the few remaining Hee vat on
ov ri ae soldiers have left, without ane ne
the pyramids” (R. Lepsius, Briefe oe 1852) ann
Aethiopien und der Halbinsel Sina ee ‘as murchased
The remaining portion of Ferlini's treasu ery |
for Berlin at Lepsius’s recommendation Das ee
The context of the —- ner alee
Ferlini gives the impression in his fepe —s oyrarni d.
found in a chamber in the interior ad such
Noel he Napatan or Meroitic pyramids pro —
i vel Nosore aspects of the constructer or the
Lae inst such a chamber within the bo a aah
ee fig. 70). We can state with Leon ‘om the
= that the treasure of ee ie rerlini’s
burial chamber beneath her pyramic, re portion —
workers had penetrated from above. veie bowl ie
rthed wrapped up in a cloth ina sortie winich
ie of jewelry lay on the floor of the . a for iden
ne a wooden bed—important pe snes
tifying a subterranean burial cet nd veroitiC
ably the typical funerary bed of Nap
; t
Te abe quality of craftsmanship of te eet
red with the work of Helle : a
a a significance of the by fe aimee ale-
i tian, Meroitic, and | ine -_
pecabe i original composition. The pearsemeieit
of the shield and seal rings, armlets aE ean eroitic
icantly expands the repertoire of ae Saves
temples and the offering chapels of Soi yal costume
They also provide the — evidence
i iefs. =
° Orca elie is the typically vent
reinterpretation of Egyptian motifs, ia ils ar
am pores a wi Oi eAned elegance of
i tions repla Sege
(en cepecentatlois with a fresh originality.

--- Page 306 ---
MERO:TIC TREASURE

303

--- Page 307 ---
Fig. 46. Pylon to the Offering chapel of the pyramid of Queen Amanishak!

Previous Page: Fj

9. 45. Frédéric Cailliaud (1822)
(Voyage,

pl. XU; Photograph: M. Busing)
"
323,FRAGMENT OF RELIEF,"Painted and gilded stucco; H. 6 cm, W. 4 cm,","Khartoum, National Museum 62/10/129","323 FRAGMENT OF RELIEF

Painted and gilded stucco; H. 6 cm, W. 4 cm,
Th. 1.7 cm

From Wad Ban Naga, Palace

Excavation of H. Thabit—}. Vercoutter, 1959-60
Meroitic, 10 8.c—0
Khartoum, National Museum 62/10/129

Part of the original wall decoration,
this stucco fragment was discovered in
the palace of Wad Ban Naga. Since
inscriptional material assigns the
palace to Queen Amanishakheto, this
boldly modeled figure of a queen may
Well represent that ruler, A vulture pelt

306

NAPATA A®D MEROE

appears above the curled wig, while
the brow shows a uraeus cobra next to
the vulture’s head. Traces of gilding
hint at the original splendor of the
palace wall decoration.

Lit: Vercoutter, Syria 39 (1962): 283f,, fig. 13; Wenig,
catalogue AiA Il, 202, no. 123
"
324,FRAGMENT OF RELIEF,"Painted and gilded stucco; H. 6.4 cm, W. 5.3 cm,","Khartoum, National Museum 62/19/130","324 FRAGMENT OF RELIEF

Painted and gilded stucco; H. 6.4 cm, W. 5.3 cm,
Th. 1.8 cm

From Wad Ban Naga, Palace

Excavation of H. Thabit-J. Vercoutter, 1959-60
Meroitic, 10 8.c.—0

Khartoum, National Museum 62/19/130

This representation of the queen, from
the same context as cat. 323, shows
the sumptuous jewelry adorning her
neck and arms. The entire figure was
covered with gold foil, while the back-
ground was painted blue, creating the
illusion of a faience tile. The queen
holds a decorative collar with both
hands, and a mirror with one; both
objects are intended as offerings for a
missing deity standing to the left.

Lit: Vercoutter, Syria, 282, fig. 11; mentioned by Wenig, AiA

For catalogue numbers 325-368, the collection of
Munich, Staatliche Sammlung Agyptischer Kunst is
abbreviated SSAK, while that of Berlin, Agyptisches
Museum und Papyrussammlung is abbreviated Berlin,
AMP

--- Page 310 ---
MERO!TSIC TREASURE
"
366,BROAD COLLAR,"Shell, stone, carnelian, faience, glass; W. 45 cm","Khartoum, National Museum 762a","366 BROAD COLLAR

Shell, stone, carnelian, faience, glass; W. 45 cm
Berlin, AMP 1757

The most popular amuletic forms are
represented in this broad collar recon-
structed from elements of the treasure
of Amanishakheto: life (ankh) signs,
jed-pillars, wedjat e
djec-pillars, wedjat eyes, and scarabs, i. ster, Glichmiedeabiten, 169-14, m2, |

along with fish and various blossom 34; Weng, catalogue At I 236, na, 16; Priest, Gold, 2,
and plant motifs. fig. 12

325

--- Page 329 ---
THE KINGDOM OF NAPATA AND MEROE

Queen Amanitore in full regalia.
Relief from the rear wall of the
Lion Temple at Naga (Lepsius,
Denkmiler V, 59; photograph:
M. Biising)

326

--- Page 330 ---
MER: : TIC TREASURE

367 CAMEO WITH HEAD OF ATHENA 369 SHIELD-RING

Agate; H. 2.05 cm Gold, fused glass; H. 3.3 cm, W. 3.0 cm,
Berlin, AMP 1751 Diam. of ring 1.9 cm

From Faras, Tomb 2782

Oxford Excavations (Griffith), 1912, field no. 1/2782
Meroitic, beginning of the Christian era

Khartoum, National Museum 762a

The head of Athena is carved from four
layers of different colored agate. The
Attic helm shows a chariot with two
galloping horses and the goddess Nike
in the cart. A Gorgon’s head adorns
the breast. The cameo is doubtless an
import from the Mediterranean region.

The decoration of this shield-ring from
Faras, functionally similar to the rings
of Amanishakheto, takes the form of a
miniature stela. A winged sun-disk and
wedjat eyes flanking a central sa sign

often crown the lunettes of Egyptian
stelae.

Lit.: Schafer, Goldschmiedearbeiten, \50f., no. 233, pl. 30;
Priese, Gold, 28, fig. 25 left
"
371,Ear stups,"Gold, enamel; Diam. 1.45 cm","Khartoum, National Museum 1972","371 Ear stups

Gold, enamel; Diam. 1.45 cm

From Meroe, western cemetery,

Tomb Beg.W 179 and W 165

Harvard University—MFA Boston Expedition,
February 1922 and January 1923,

field nos. 22-2-610 and 23-1-2

Meroitic, .0. 30-170, and 50-10 BC,
Khartoum, National Museum 1972
Boston, Museum of Fine Arts 23.845

The frontally rendered bust of a god-
dess with sun-disk and co

; W's horns
appears against a blue enamel back-
ground. The goddess Supports her
breasts with her hands. T

he piece j
Boston shows only the god Hoses "" :
and crown. a

Lit: Reisner, Bull, MFA XXI/124

(1923): 25: p
fig. 134a, b, and 237, fig. 162.8 OV, 184, 197,

328

NAPSTA AND MEROE"
372,Ear studs,"Gold, fused glass; Diam. 3.15 cm","Khartoum, National Museum “we","372 Ear studs

Gold, fused glass; Diam. 3.15 cm

* Meroe, western cemetery, Tomb Beg.W 125

- rsity-HFA Boston Expedition,
d University er

Harvar
February 1922, field n
Meroitic, 4.0. 30-170 i
Khartoum, National Museum “we
Boston, Museum of Fine Arts 24.

dess Hathor is sur-
lated rim and a
her traditional

The head of the god
rounded by a granu :
blue ground. She wea!

curled wig.

Dunham, The Egyptian

Lit: Reisner, Bull. MFA, 24; D- (poston, 1958), 135, fig.

Department and its Excavations
108; RCK Y; 16IF., fig. 1171, g
"
374,Ear stups,Gold; Diam. 4.1 cm,"Khartoum, National Museum 1974","374 Ear stups

Gold; Diam. 4.1 cm

From Meroe, western cemetery, Tomb Beg. W 127
Harvard University-MFA Boston Expedition,
February 1922, field no. 22-2-503

Meroitic, Ao. 30-170

Khartoum, National Museum 1974

Boston, Museum of Fine Arts 24.489

(not shown in illustration)

333
The central figure is the goddess

Hathor with tall cow's horns surround-
ing a sun-disk. A multi-rowed broad
collar adorns her neck. The rim is dec-
orated with flower petals. These studs
were discovered in the pyramid com-
plex of King Aryesbokhe.

Lit: Reisner, Bull. MFA, 24; RCK Y, 168, fig. 122i, 123
"
376,Ear stups,"Gold, enamel; Diam. 2.4 cm","Khartoum, National Museum 1960","376 Ear stups

Gold, enamel; Diam. 2.4 cm

From Meroe, western cemetery, Tomb Beg.W 139
Harvard University-HFA Boston Expedition,
February 1922, field no. 22-2-520

Meroitic, beginning of the Christian era
Khartoum, National Museum 1960

Boston, Museum of Fine Arts 24.497

A frieze of granulated chevrons sur-
rounds the central conical boss.
Stylized blossom motifs of gold wire
decorated the rim, which shows traces
of red fill material.

Lit: RCK Y, 129, fig. 96a
"
377,Ear stups,"Gold, enamel; Diam. 3.0 cm","Khartoum, National Museum 1961","377 Ear stups

Gold, enamel; Diam. 3.0 cm

From Meroe, western cemetery, Tomb Beg. W III
Harvard University—HFA Boston Expedition,
January 1922, field no. 22-1-562

Meroitic, Ao. 90-220

Khartoum, National Museum 1961

Boston, Huseum of Fine Arts 24.487

Around the conical center is a blossom
pattern fringed by a granulated double
band. Stemmed blossoms make up the
rim decoration.

Lit: Reisner, Bull. MFA, 27; RCK Y, 225, fig. 156, 8
"
378,Ear stups,"Gold, enamel; Diam. 3.3 cm","Khartoum, National Museum 1970","378 Ear stups
Gold, enamel; Diam. 3.3 cm
From Meroe, western cemetery, Tomb Beg. W 179
Harvard University—HFA Boston Expedition,
February 1922, field no. 22-2-608
Meroitic, a0. 30-170
Khartoum, National Museum 1970
Boston, Museum of Fine Arts 24.551

A granulated double band surrounds
the conical center with blossom pat-
tern. The rim decoration shows a floral
wreath over a blue inlaid ground.

Lit: Reisner, Bull. MFA, 25; RCK Y, 184, fig. 134a, f

330

NAPATA AND MEROE

316

377

378

--- Page 334 ---
MERE TIC TREASURE

--- Page 335 ---
THE KINGDOM OF NAPATA AND MEROE

332

--- Page 336 ---
MER -TIC TREASURE
"
379,FLORAL ELEMENTS,"Gold; H. 2.25 cm, W. 1.8 cm","Khartoum, National Museum, no number","379 FLORAL ELEMENTS

Gold; H. 2.25 cm, W. 1.8 cm

From Meroe, western cemetery, Tomb Beg.
W 199 and W 212

Harvard University—MFA Boston Expedition,
January 1923, and December 1922,

field nos. 23-1-12/26 and 22/12/18
Meroitic, 170-10 a,c.

Khartoum, National Museum 2257

Boston, Museum of Fine Arts 23.314—327

Like the ear studs above, these floral
elements were divided between Boston
and Khartoum. There are nineteen
pieces, each showing three leaves with
two fruits, probably olives, attached to
thin gold wire. Tubular loops for attach-
ment are affixed to the leaf fittings.

Lit: RCK V, 2AIL,, fig. 163.14 (Khartoum objects);
243 (Boston objects)

:

381

380 ARMLET(?)

Gold; individual elements: H. 3.7 cm,

W. 1.0 cm, Th. 0.4 cm

From Meroe, northern cemetery,

Pyramid Beg. N 16

Harvard University—MFA Boston Expedition,
March 1921, field no. 21-3-630

Meroitic, av. 40-50

Khartoum, National Museum, no number
Boston, Museum of Fine Arts 24.1077a—c

Above a papyrus umbel, each of the
twenty-nine elements shows the ram's
head of Amun, surmounted by the
sun-disk and double-plumed crown on
which rests an additional sun-disk,
flanked by uraei. The object derives
from the pyramid of King
Amanitaraqide.

Lit: RCK W, 137, 139, 2015 cf RCKY, 2416, fig. 92, pl. LXLN

333

381 ARMLET(?)

Gold; H. 3.6 cm, W. 0.7 cm, Th. 0.3 cm
(individual elements)

From Meroe, northern cemetery,

Pyramid Beg. N 20

Harvard University—MFA Boston Expedition,
December 1921, field nos. 21-12-145,
161, 168

Meroitic, 190-185 8.c.(2)

Khartoum, National Huseum, 1983

A tall, thin life (ankh) sign appears
above the ram's head with sun-disk on
all nine elements.

Lit: ACK W, 78, 80, fig. 51; 213, pl. LXI.C

--- Page 337 ---
THE KINGDOM OF

NAPATA AND MEROE

382
"
382,STRING OF URAEUS SERPENTS,Gold; L 17 cm,"Khartoum, National Museum, 1992","382 STRING OF URAEUS SERPENTS

Gold; L 17 cm

From Meroe, northern cemetery, Pyramid Beg. N 16

Harvard University-HFA Boston Expedition,
Harch 1921, field no. 21-3-638b

383

Meroitic, ao. 40-50
Khartoum, National Museum, 1992

A row of uraeus serpents with sun-
disks all face to the right.

Lit: ACK IV, 139, fig. 92, pl. LXIN, bottom

334
"
384,RELIEF FIGURE OF A SOW,"Gold; L. 1.4 cm, H. 0.95 cm, Th. 0.5 cm","Khartoum, National Museum 2226","384 RELIEF FIGURE OF A SOW

Gold; L. 1.4 cm, H. 0.95 cm, Th. 0.5 cm

From Meroe, western cemetery, Tomb Beg. W 652
Harvard University-MFA Boston Expedition, 1923,
field no. 23-M-334

Napatan, 690-630 ac.

Khartoum, National Museum 2226

Animal figurines make up much of the
jewelry and amulets in Meroitic tombs,
but are also found earlier, in the
Napatan Period. In Egyptian iconogra-
phy, the sow is a form of Nut, goddess
of heaven, The figurine was found in
the tomb of a child.

Lit: ACK V, 54, fig. 39

--- Page 338 ---
MERO:°: ITC TREASURE
"
385,EARRING,"Gold; H. 2.05 cm, W. 2.3 cm, Th. 0.65 cm,","Khartoum, National Museum 1969","385 EARRING

Gold; H. 2.05 cm, W. 2.3 cm, Th. 0.65 cm,

Diam of ring 1.65 cm

From Meroe, western cemetery, Tomb Beg. W 179
Harvard University—MFA Boston Expedition,
February 1922, field no. 22-2-607

Meroitic, Ao. 30-170 (Wenig: Late Heroitic,
third century 40.)

Khartoum, National Museum 1969

A crouching bird shows decorated
wings. A thin gold ring is fitted
through the loop on its back.

Lit: Reisner, Bull. MFA XXI/124 (1923): 25; RCK V, 184, 187,
fig. 134a; cf. Wenig, catalogue AiA Il, 247, no. 177
(parallel piece: Boston, HFA 24.549)

335

--- Page 339 ---
387

388

THE KINGDOM OF
"
